gene_name,logfc,pvalue
ENSG00000173065,0.180443839,0.008551054
ENSG00000181143,0.369316246,0.008516047
ENSG00000198001,0.371782151,0.008564993
ENSG00000214063,-0.085539933,0.008343667
ENSG00000002549,-0.379746988,0.008972191
ENSG00000060688,-0.319507824,0.009083209
ENSG00000073711,0.038686576,0.009121026
ENSG00000089820,0.332920913,0.008976133
ENSG00000091106,-0.081702016,0.009142098
ENSG00000101082,-0.113141809,0.008930958
ENSG00000103047,0.223432731,0.009122211
ENSG00000103313,-0.085441293,0.009091657
ENSG00000119685,0.333267213,0.008968721
ENSG00000122882,0.211961764,0.008883479
ENSG00000157445,-0.036048352,0.00873543
ENSG00000160691,0.349057037,0.008928581
ENSG00000164715,0.083557182,0.0090625
ENSG00000214114,-0.470228053,0.008720612
ENSG00000246922,0.392448347,0.008835455
ENSG00000272391,0.175246626,0.008830046
ENSG00000134545,-0.036658165,0.009195937
ENSG00000150995,0.323140701,0.009211865
ENSG00000124151,0.246187334,0.009287074
ENSG00000095574,0.18171164,0.009493338
ENSG00000099821,-0.117598652,0.009570042
ENSG00000119899,0.082226719,0.009724568
ENSG00000127124,0.347074978,0.009802727
ENSG00000135336,0.339664235,0.009755352
ENSG00000144535,0.368215697,0.009560132
ENSG00000147912,-0.143330468,0.009763522
ENSG00000169118,0.098589335,0.009506599
ENSG00000177674,-0.427257668,0.009677731
ENSG00000181090,0.315625055,0.009494135
ENSG00000181666,0.321929359,0.009664627
ENSG00000186517,-0.332332916,0.009621449
ENSG00000196526,-0.065681888,0.009810088
ENSG00000198818,-0.34237312,0.009777026
ENSG00000074416,-0.081254906,0.009912825
ENSG00000120694,-0.43746388,0.009962413
ENSG00000137871,0.153200937,0.009902362
ENSG00000166348,0.085259452,0.009964541
ENSG00000025800,0.292593771,0.010223999
ENSG00000071539,-0.038315476,0.010204078
ENSG00000103489,-0.374153682,0.010062436
ENSG00000105671,-0.376118457,0.010279281
ENSG00000132952,0.261118854,0.010173858
ENSG00000134809,-0.133321551,0.010150986
ENSG00000148120,0.178532718,0.010251454
ENSG00000183826,0.085848957,0.010215068
ENSG00000205352,-0.305767655,0.010147584
ENSG00000144134,0.316416815,0.010384561
ENSG00000161847,0.081548339,0.010391828
ENSG00000198825,0.090968761,0.010375923
ENSG00000150471,-0.05108142,0.010537629
ENSG00000135070,0.331573183,0.010610713
ENSG00000158023,-0.102057091,0.01057542
ENSG00000172260,0.043119062,0.010634304
